AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,EulerX,EulerY,EulerZ,q0,q1,q2,q3
1,1,1,57.295776,57.295776,57.295776,1,1,1,-20.232016,-10.475627,1.6327823,0.98001546,0.17617114,-0.087369375,-0.030000843
1,1,1,57.295776,57.295776,57.295776,1,1,1,-37.38621,-21.926682,-5.362576,0.9317939,0.30587777,-0.19467078,-0.017382294
1,1,1,57.295776,57.295776,57.295776,1,1,1,-49.790203,-31.210783,-19.70786,0.88013387,0.35769948,-0.3098,0.037940998
1,1,1,57.295776,57.295776,57.295776,1,1,1,-36.343254,-25.42937,-19.190407,0.92530286,0.26510376,-0.2569025,0.08680951
1,1,1,57.295776,57.295776,57.295776,1,1,1,-53.645622,-23.644814,-20.817888,0.8758042,0.40135938,-0.2596224,0.066886544
0.028182,-0.070882,-1.012661,-3.2462497,0.0175,4.5062494,-0.13034001,-0.21700001,1.04986,-75.03083,-15.354553,-33.284172,0.776452,0.547889,-0.27436846,0.14717996
0.028182,-0.070882,-1.012661,-3.2462497,0.0175,4.5062494,-0.12894,-0.21868001,1.04062,-95.745995,-5.5325856,-41.1499,0.63983697,0.6821657,-0.2906477,0.20194684
0.012932,-0.070272,-1.032608,-2.87,0.9099999,4.13875,-0.1267,-0.21742001,1.0521001,-115.897675,3.5071642,-44.435234,0.48123848,0.7904189,-0.30530596,0.2245792
0.012932,-0.070272,-1.032608,-2.87,0.9099999,4.13875,-0.13244,-0.21504,1.05266,-135.96637,9.769975,-44.42319,0.31595603,0.8672298,-0.31963286,0.21428746
0.015798999,-0.073688,-1.030107,-2.7737498,1.0937499,3.9549994,-0.126,-0.2177,1.0455201,-155.18993,11.7368355,-42.586617,0.1628448,0.913188,-0.33234075,0.17064217
0.017019,-0.069906,-1.0233359,-3.3949997,1.1637499,4.1212497,-0.11788,-0.21294,1.0507001,-170.30836,8.9940195,-40.99164,0.05152829,0.93279535,-0.34160933,0.102668
0.017019,-0.069906,-1.0233359,-3.3949997,1.1637499,4.1212497,-0.10304,-0.20874001,1.05042,-176.94873,5.440908,-40.931095,0.008326281,0.9359368,-0.3479423,0.053750016
0.049898,-0.037149,-1.106845,-6.7812495,3.4387498,5.4862494,-0.052500002,-0.19684,1.0530801,-176.31555,4.533251,-41.57691,0.016001172,0.9341342,-0.353269,0.048356585
0.049898,-0.037149,-1.106845,-6.7812495,3.4387498,5.4862494,0.03444,-0.16044,1.0465001,-177.81718,3.6099136,-41.850414,0.006535186,0.9336289,-0.35634673,0.03621395
0.116815,-0.01403,-1.116788,-24.911247,43.461246,14.69125,0.10822,-0.11956,1.04706,-175.76277,5.0600753,-42.411846,0.01847474,0.9313313,-0.35959998,0.054485045
0.116815,-0.01403,-1.116788,-24.911247,43.461246,14.69125,0.1715,-0.08708,1.04818,-177.05342,6.0104055,-42.372215,0.004999472,0.9313085,-0.35952547,0.058146127
0.047153,0.025009999,-0.71632296,-44.677498,101.69249,23.19625,0.18382001,-0.074200004,1.04594,-175.18237,4.760791,-42.644505,0.024029681,0.93055856,-0.36135218,0.05392582
0.230153,0.05673,-0.87187296,-45.762497,34.65875,-2.9574997,0.18200001,-0.06566,1.04846,-170.51996,8.367753,-42.19959,0.050714493,0.9294566,-0.3521816,0.09750195
0.230153,0.05673,-0.87187296,-45.762497,34.65875,-2.9574997,0.17542,-0.06454,1.0375401,-170.96155,10.120163,-40.82707,0.042889412,0.9330687,-0.3398408,0.10977987
0.15847799,0.053009,-0.946293,-8.557499,-9.712499,1.3912499,0.17892,-0.06174,1.0409,-175.55772,7.562585,-38.86761,0.014543105,0.941117,-0.32933357,0.07501094
0.15847799,0.053009,-0.946293,-8.557499,-9.712499,1.3912499,0.17724,-0.06398,1.04804,-175.3508,6.223262,-37.94428,0.020667939,0.9442212,-0.32227978,0.06445772
0.180926,0.048312,-1.016016,5.1537495,0.0525,5.74,0.17444001,-0.063,1.0417401,-175.53677,7.0881867,-37.336334,0.017048245,0.9456298,-0.31695184,0.07096003
0.22197899,0.047824,-1.008757,3.9199998,1.05875,9.493749,0.16912,-0.06538,1.04258,-174.3631,8.663461,-36.960705,0.022589654,0.9457564,-0.3121692,0.08709114
0.22197899,0.047824,-1.008757,3.9199998,1.05875,9.493749,0.17108001,-0.066360004,1.04258,-174.48872,9.257303,-36.27446,0.020447038,0.94732666,-0.30623302,0.09151621
0.227347,0.034343,-0.969473,-1.1987499,1.0849999,7.848749,0.17206,-0.06916,1.03474,-174.40082,10.095827,-35.594543,0.019463195,0.94863266,-0.30000925,0.09854885
0.227347,0.034343,-0.969473,-1.1987499,1.0849999,7.848749,0.17766,-0.06762,1.03768,-174.53531,10.402553,-34.786076,0.018235158,0.95055866,-0.29323158,0.10060254
0.208437,0.041053,-0.970693,-5.8887496,2.5637498,2.7299998,0.17556,-0.06804,1.0323601,-174.60263,9.655515,-33.79215,0.020458145,0.9535332,-0.2854929,0.09407399
0.204167,0.044957,-0.99265295,-6.5712495,2.4325001,3.5962498,0.17402,-0.070700005,1.043,-174.65663,9.138133,-32.953625,0.021987082,0.95590127,-0.2788579,0.08948504
0.204167,0.044957,-0.99265295,-6.5712495,2.4325001,3.5962498,0.1771,-0.07406,1.0339,-174.66481,9.058739,-32.195248,0.022704137,0.9577713,-0.2725781,0.088655956
0.208742,0.019947,-1.008757,-5.0225,1.81125,5.6874995,0.17472,-0.07462,1.0396401,-175.5708,9.687215,-31.607866,0.014070183,0.9589357,-0.26803157,0.09167035
0.208742,0.019947,-1.008757,-5.0225,1.81125,5.6874995,0.17276001,-0.07644,1.0278801,-175.49881,9.774267,-31.10355,0.014871479,0.9600426,-0.2637051,0.09250127
0.234301,0.032635,-0.995398,-5.5474997,1.0674999,6.9124994,0.17906001,-0.07518,1.0388,-174.55583,10.55674,-30.65584,0.021317178,0.96041036,-0.25871158,0.101123005
0.234301,0.032635,-0.995398,-5.5474997,1.0674999,6.9124994,0.17556,-0.07868,1.0339,-174.57303,10.869283,-30.068417,0.020975599,0.961515,-0.25361001,0.10359081
0.231922,0.030317,-0.99637395,-6.5624995,0.73499995,6.7899995,0.17836,-0.082600005,1.0388,-174.67839,10.9116125,-29.48031,0.020526735,0.9627937,-0.24874154,0.10360795
0.21941699,0.030134,-0.993019,-5.1975,-0.38499996,6.20375,0.18018,-0.08218,1.0395,-175.02298,10.5422,-28.847685,0.019010382,0.9644682,-0.24394254,0.099658325
0.21941699,0.030134,-0.993019,-5.1975,-0.38499996,6.20375,0.17878,-0.078260005,1.04594,-175.09114,10.476405,-28.30448,0.0190501,0.9656701,-0.2394637,0.09887135
0.23076299,0.052033,-0.996618,-4.2612495,-1.5574999,4.7687497,0.17528,-0.07896,1.03488,-174.13512,10.427438,-27.745562,0.027701272,0.9666625,-0.23394905,0.10032018
0.23076299,0.052033,-0.996618,-4.2612495,-1.5574999,4.7687497,0.1764,-0.0833,1.04118,-174.17334,10.544969,-27.11477,0.027686499,0.9678662,-0.2285853,0.10108042
0.21484199,0.006588,-0.988444,-5.69625,-2.3624997,3.1062498,0.17584,-0.07784,1.0388,-176.15942,10.917682,-26.459764,0.010712498,0.9692302,-0.22458962,0.10018793
0.193187,0.005185,-0.99070096,-6.8162494,-4.7599998,3.7537496,0.18032001,-0.07336,1.03572,-176.65393,10.038658,-25.96741,0.008691481,0.9708574,-0.2212279,0.09175303
0.193187,0.005185,-0.99070096,-6.8162494,-4.7599998,3.7537496,0.1848,-0.077,1.03502,-176.62138,9.780204,-25.609945,0.009756939,0.9717154,-0.21827996,0.08959852
0.195932,0.060512,-0.973865,-8.89875,0.35875,3.325,0.18298,-0.07266,1.04146,-174.35968,9.109866,-25.20545,0.030557528,0.9724985,-0.21342397,0.08810888
0.195932,0.060512,-0.973865,-8.89875,0.35875,3.325,0.17892,-0.07756,1.0292801,-174.40915,9.144103,-24.637634,0.030508911,0.9735372,-0.20862117,0.08815672
0.204411,0.043615,-1.007659,-4.3312497,2.03875,0.72625,0.18312001,-0.077700004,1.02942,-175.24496,9.687824,-24.00316,0.0228883,0.9745378,-0.2035913,0.091119945
0.193309,0.012505,-1.02785,-0.2625,0.63874996,-0.17499998,0.18032001,-0.07588,1.03208,-176.76762,9.772411,-23.392221,0.010257696,0.97577673,-0.19955131,0.08907205
0.193309,0.012505,-1.02785,-0.2625,0.63874996,-0.17499998,0.17472,-0.07812,1.03012,-176.63687,9.702913,-23.011553,0.011789564,0.9764685,-0.19623469,0.088669814
0.189283,0.031842,-0.99064,-3.4474998,2.3362498,0.55125,0.18116,-0.07714,1.03222,-175.81198,9.530267,-22.63021,0.019416925,0.97711676,-0.19241959,0.08854674
0.189283,0.031842,-0.99064,-3.4474998,2.3362498,0.55125,0.1806,-0.07812,1.03698,-175.85963,9.557786,-22.180557,0.01931094,0.9778545,-0.18860838,0.08862601
0.213378,0.030744,-0.99917996,-4.8299994,3.2462497,1.5312499,0.18228,-0.078540005,1.02662,-175.5402,10.460681,-21.84453,0.020785606,0.9777284,-0.18506248,0.0967825
0.213378,0.030744,-0.99917996,-4.8299994,3.2462497,1.5312499,0.18200001,-0.07714,1.0353,-175.61095,10.7530365,-21.409136,0.0200688,0.978224,-0.18126659,0.099083506
0.21362199,0.030805,-0.99234796,-4.69,2.9837499,0.75249994,0.18298,-0.08274,1.03544,-175.51051,10.890492,-20.98525,0.021071434,0.9787669,-0.17749341,0.10033676
0.19953099,0.019825,-0.996557,-5.0137496,3.4299998,-0.51625,0.17934,-0.08134,1.03138,-176.16212,10.570143,-20.49159,0.016436616,0.97986937,-0.17398064,0.09652227
0.19953099,0.019825,-0.996557,-5.0137496,3.4299998,-0.51625,0.18074,-0.08624,1.03264,-176.07506,10.456836,-20.143436,0.0176499,0.9804637,-0.17097844,0.09563345
0.20435,0.022204,-1.009123,-4.97,3.5524998,-0.81374997,0.1806,-0.089600004,1.03572,-175.92802,10.501738,-19.817827,0.019111736,0.98088896,-0.16804923,0.09618253
0.20435,0.022204,-1.009123,-4.97,3.5524998,-0.81374997,0.18592,-0.08302,1.0396401,-176.11386,10.562119,-19.419687,0.017764114,0.9814526,-0.16477019,0.09636504
